Date,Open,High,Low,Close,Volume
01/21/2020 20:22,316.8299,316.86,316.79,316.81,26811
01/21/2020 20:23,316.81,316.99,316.81,316.98,51314
01/21/2020 20:24,316.98,317.06,316.89,316.89,52585
01/21/2020 20:25,316.89,316.92,316.63,316.6402,54937
01/21/2020 20:26,316.6207,316.7999,316.62,316.73,29579
01/21/2020 20:27,316.73,316.94,316.73,316.88,38060
01/21/2020 20:28,316.88,316.93,316.78,316.88,23260
01/21/2020 20:29,316.88,316.9186,316.82,316.8571,26807
01/21/2020 20:30,316.8571,316.97,316.79,316.9403,44770
01/21/2020 20:31,316.9403,317.03,316.8964,316.9811,37175
01/21/2020 20:32,316.9811,317.04,316.91,316.97,95794
01/21/2020 20:33,316.97,317.01,316.865,316.875,37856
01/21/2020 20:34,316.875,316.88,316.65,316.6603,51178
01/21/2020 20:35,316.6603,316.6819,316.464,316.57,102108
01/21/2020 20:36,316.57,316.5997,316.48,316.58,31887
01/21/2020 20:37,316.58,316.63,316.47,316.62,45977
01/21/2020 20:38,316.62,316.62,316.41,316.43,46116
01/21/2020 20:39,316.43,316.6794,316.395,316.58,62407
01/21/2020 20:40,316.58,316.5872,316.444,316.47,34982
01/21/2020 20:41,316.47,316.5,316.43,316.46,32014
01/21/2020 20:42,316.46,316.4765,316.36,316.3701,51588
01/21/2020 20:43,316.3701,316.6,316.37,316.56,92488
01/21/2020 20:44,316.5471,316.62,316.54,316.5783,29848
01/21/2020 20:45,316.5783,316.75,316.5783,316.73,60822
01/21/2020 20:46,316.73,316.74,316.5572,316.6099,43376
01/21/2020 20:47,316.6099,316.65,316.48,316.52,36027
01/21/2020 20:48,316.52,316.52,316.39,316.455,65571
01/21/2020 20:49,316.455,316.56,316.21,316.55,183428
01/21/2020 20:50,316.55,316.56,316.33,316.39,69185
01/21/2020 20:51,316.39,316.54,316.35,316.48,69389
01/21/2020 20:52,316.48,316.6,316.42,316.43,93342
01/21/2020 20:53,316.43,316.55,316.32,316.34,89072
01/21/2020 20:54,316.34,316.72,316.23,316.6437,146815
01/21/2020 20:55,316.6437,316.66,316.54,316.6282,55251
01/21/2020 20:56,316.63,316.66,316.47,316.47,102093
01/21/2020 20:57,316.47,316.59,316.34,316.52,102271
01/21/2020 20:58,316.55,316.73,316,316.44,288247
01/21/2020 20:59,316.44,316.64,316.34,316.57,4536073
01/21/2020 21:01,316.36,316.55,316.36,316.55,1481
01/21/2020 21:02,316.55,316.5501,316.55,316.55,2449
01/21/2020 21:03,316.55,316.55,316.31,316.31,3464
01/21/2020 21:04,316.31,316.4,316.31,316.4,794
01/21/2020 21:05,316.4,316.4,316.3199,316.32,19659
01/21/2020 21:06,316.32,316.32,316.31,316.31,740
01/21/2020 21:07,316.31,316.57,316.31,316.4,139501
01/21/2020 21:08,316.4,316.4,316.38,316.38,2085
01/21/2020 21:09,316.38,316.4,316.31,316.31,2212
01/21/2020 21:10,316.31,316.57,316.24,316.24,388755
01/21/2020 21:11,316.24,316.4,316.24,316.25,12063
01/21/2020 21:12,316.25,316.57,316.25,316.38,80175
